QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,COUNTRY,DEALSIZE
26,141.1,3668.6,17/08/2019,Italy,Medium
32,183.6,5875.2,,Singapore,Medium
43,170,7310,6/10/2018,UK,Large
48,168.3,8078.4,21/10/2019,USA,Large
44,74.04,3257.76,17/11/2019,USA,Medium
45,170,7650,25/11/2019,France,Large
37,127.13,4703.81,12/1/2020,USA,Medium
39,138.45,5399.55,10/2/2020,Spain,Medium
76,185.3,14082.8,22/04/2020,USA,Large
37,142.8,5283.6,29/05/2020,Australia,Medium
38,82.39,3130.82,3/3/2018,Philippines,Medium
43,72.38,3112.34,8/5/2018,France,Medium
48,79.31,3806.88,2/7/2018,USA,Medium
,82.39,2142.14,5/9/2018,USA,Small
20,63.14,1262.8,4/11/2018,Austria,Small
22,73.92,1626.24,12/11/2018,Norway,Small
45,90.86,4088.7,20/11/2018,USA,Medium
45,85.47,3846.15,2/12/2018,Spain,Medium
20,66.99,1339.8,16/01/2019,Spain,Small
47,64.68,3039.96,22/02/2019,Switzerland,Medium
46,73.92,3400.32,12/4/2019,Finland,Medium
23,83.93,1930.39,1/6/2019,UK,Small
33,74.69,2464.77,6/7/2019,Italy,Small
29,90.86,2634.94,6/8/2019,USA,Small
44,82.39,3625.16,30/08/2019,Switzerland,Medium
41,92.4,3788.4,4/10/2018,Germany,Medium
20,91.63,1832.6,16/10/2019,Germany,Small
37,78.54,2905.98,4/11/2019,USA,Small
29,101.89,2954.81,15/11/2019,USA,Small
55,65.45,3599.75,24/11/2019,Australia,Medium
22,167.57,3686.54,6/1/2020,Finland,Medium
31,67.76,2100.56,9/2/2020,Finland,Small
49,79.22,3881.78,3/3/2020,Sweden,Medium
61,73.92,4509.12,14/04/2020,France,Medium
39,83.93,3273.27,17/05/2020,Austria,Medium
38,116.65,4432.7,10/3/2018,USA,Medium
31,132.29,4100.99,8/5/2018,France,Medium
36,146.52,5274.72,4/7/2018,France,Medium
25,169.28,4232,11/9/2018,Australia,Medium
48,128.03,6145.44,17/10/2018,Denmark,Medium
35,133.72,4680.2,5/11/2018,Canada,Medium
21,156.48,3286.08,12/11/2018,Norway,Medium
47,157.9,7421.3,20/11/2018,USA,Large
38,169.28,6432.64,2/12/2018,USA,Medium
41,118.07,4840.87,16/01/2019,Spain,Medium
24,162.17,3892.08,26/02/2019,USA,Medium
37,149.36,5526.32,13/04/2019,Japan,Medium
33,135.14,4459.62,1/6/2019,UK,Medium
49,126.6,6203.4,6/7/2019,Italy,Medium
29,129.45,3754.05,6/8/2019,USA,Medium
24,146.52,3516.48,30/08/2019,Switzerland,Medium
47,159.32,7488.04,5/10/2018,Norway,Large
24,143.67,3448.08,16/10/2019,Germany,Medium
25,149.36,3734,4/11/2019,USA,Medium
30,32.47,974.1,17/11/2019,USA,Small
22,143.67,3160.74,24/11/2019,Australia,Medium
27,64.69,1746.63,9/12/2019,France,Small
34,123.76,4207.84,10/1/2020,Belgium,Medium
36,120.91,4352.76,,Finland,Medium
34,43.05,1463.7,4/3/2020,USA,Small
48,149.36,7169.28,15/04/2020,Denmark,Large
34,135.14,4594.76,17/05/2020,Austria,Medium
24,144.08,3457.92,31/01/2018,Spain,Medium
46,160.46,7381.16,4/4/2018,USA,Large
45,158.82,7146.9,3/6/2018,USA,Large
39,152.27,5938.53,1/8/2018,Finland,Medium
43,165.37,7110.91,21/09/2018,Finland,Large
29,173.55,5032.95,22/10/2018,Singapore,Medium
20,183.38,3667.6,6/11/2018,Italy,Medium
46,160.46,7381.16,14/11/2018,Spain,Large
27,189.93,5128.11,25/11/2018,USA,Medium
44,160.46,7060.24,9/12/2018,USA,Large
43,196.48,8448.64,10/2/2019,USA,Large
49,148.99,7300.51,15/03/2019,Germany,Large
40,163.73,6549.2,5/5/2019,Spain,Medium
30,189.93,5697.9,15/06/2019,,Medium
50,183.38,9169,20/07/2019,USA,Large
23,140.81,3238.63,20/08/2019,USA,Medium
26,175.19,4554.94,8/9/2019,USA,Medium
27,145.72,3934.44,13/10/2019,USA,Medium
42,137.53,5776.26,22/10/2019,Denmark,Medium
47,153.35,7207.45,5/11/2019,USA,Large
49,152.26,7460.74,20/11/2019,France,Large
38,176.83,6719.54,1/12/2019,USA,Medium
20,121.4,2428,10/12/2019,Spain,Small
25,104.09,2602.25,23/01/2020,USA,Small
25,88,2200,17/02/2020,USA,Small
41,163.73,6712.93,3/5/2020,Spain,Medium
28,189.93,5318.04,31/05/2020,France,Medium
50,67.8,3390,6/1/2018,USA,Medium
32,50.25,1608,18/03/2018,UK,Small
42,53.88,2262.96,21/05/2018,USA,Small
24,62.36,1496.64,12/9/2018,USA,Small
26,57.51,1495.26,,Italy,Small
38,61.15,2323.7,12/11/2018,USA,Small
42,59.33,2491.86,21/11/2018,Australia,Small
23,71.44,1643.12,2/12/2018,USA,Small
21,62.96,1322.16,26/01/2019,Spain,Small
28,50.85,1423.8,2/3/2019,France,Small
33,72.65,2397.45,13/04/2019,France,Small
25,62.96,1574,17/08/2019,Italy,Small
28,61.75,1729,1/9/2019,Singapore,Small
46,49.04,2255.84,6/10/2019,Spain,Small
30,61.15,1834.5,21/10/2019,USA,Small
,84.25,3201.5,17/11/2019,UK,Medium
40,56.91,2276.4,25/11/2019,France,Small
45,197.44,8884.8,12/1/2020,USA,Large
27,49.3,1331.1,10/2/2020,Spain,Small
42,72.65,3051.3,22/04/2020,USA,Medium
36,63.57,2288.52,29/05/2020,Australia,Small
29,130.09,3772.61,31/01/2018,Spain,Medium
39,106.78,4164.42,1/4/2018,France,Medium
45,139.91,6295.95,3/6/2018,USA,Medium
47,133.78,6287.66,1/8/2018,Finland,Medium
49,110.46,5412.54,21/09/2018,Finland,Medium
46,130.09,5984.14,22/10/2018,Singapore,Medium
48,122.73,5891.04,6/11/2018,UK,Medium
46,130.09,5984.14,14/11/2018,Spain,Medium
35,103.09,3608.15,25/11/2018,USA,Medium
43,133.78,5752.54,9/12/2018,USA,Medium
26,144.82,3765.32,11/3/2019,USA,Medium
22,98.18,2159.96,5/5/2019,Spain,Small
34,99.41,3379.94,15/06/2019,Singapore,Medium
50,101.87,5093.5,20/07/2019,USA,Medium
,120.28,5773.44,19/08/2019,USA,Medium
41,110.46,4528.86,8/9/2019,USA,Medium
36,133.78,4816.08,13/10/2019,USA,Medium
29,117.82,3416.78,22/10/2019,Canada,Medium
33,37.48,1236.84,5/11/2019,USA,Small
46,126.41,5814.86,19/11/2019,Sweden,Medium
38,137.46,5223.48,1/12/2019,USA,Medium
20,36.42,728.4,10/12/2019,Spain,Small
22,179.5,3949,20/01/2020,Australia,Medium
27,142.37,3843.99,22/02/2020,Spain,Medium
56,98.18,5498.08,3/5/2020,Spain,Medium
38,99.41,3777.58,31/05/2020,France,Medium
25,151.28,3782,9/1/2018,Germany,Medium
33,116.96,3859.68,18/03/2018,UK,Medium
42,105.52,4431.84,21/05/2018,USA,Medium
33,150.01,4950.33,12/9/2018,USA,Medium
31,144.93,4492.83,5/11/2018,Italy,Medium
20,110.6,2212,12/11/2018,USA,Small
44,105.52,4642.88,21/11/2018,Australia,Medium
26,123.32,3206.32,2/12/2018,USA,Medium
27,133.49,3604.23,26/01/2019,Spain,Medium
46,152.56,7017.76,2/3/2019,France,Large
47,130.94,6154.18,26/04/2019,USA,Medium
37,128.4,4750.8,17/08/2019,Italy,Medium
31,123.32,3822.92,1/9/2019,Singapore,Medium
24,101.7,2440.8,11/10/2019,France,Small
31,152.56,4729.36,21/10/2019,USA,Medium
50,250.73,12536.5,4/11/2019,USA,Large
35,64.69,2264.15,17/11/2019,UK,Small
30,130.94,3928.2,25/11/2019,France,Medium
29,125.18,3630.22,9/12/2019,France,Medium
27,155.41,4196.07,12/1/2020,USA,Medium
40,123.29,4931.6,16/02/2020,Spain,Medium
31,98.99,3068.69,4/3/2020,USA,Medium
6,130.94,785.64,23/04/2020,Singapore,Small
45,110.6,4977,29/05/2020,Australia,Medium
22,54.09,1189.98,29/01/2018,Norway,Small
45,68.67,3090.15,1/4/2018,France,Medium
43,65.02,2795.86,28/05/2018,Spain,Small
46,61.99,2851.54,24/07/2018,USA,Small
39,69.28,2701.92,21/09/2018,Finland,Small
31,71.1,2204.1,22/10/2018,Singapore,Small
41,69.28,2840.48,6/11/2018,UK,Small
44,60.16,2647.04,14/11/2018,Spain,Small
45,70.49,3172.05,25/11/2018,France,Medium
37,69.89,2585.93,9/12/2018,USA,Small
35,61.38,2148.3,4/2/2019,Singapore,Small
28,59.55,1667.4,11/3/2019,USA,Small
30,61.99,1859.7,5/5/2019,Spain,Small
30,49.22,1476.6,15/06/2019,Singapore,Small
25,69.28,1732,20/07/2019,USA,Small
29,57.73,1674.17,19/08/2019,USA,Small
26,57.73,1500.98,8/9/2019,Sweden,Small
41,53.48,2192.68,13/10/2019,USA,Small
34,52.87,,22/10/2019,Canada,Small
35,61.21,2142.35,4/11/2019,USA,Small
34,61.38,2086.92,19/11/2019,Sweden,Small
50,136.69,6834.5,29/11/2019,Australia,Medium
41,61.99,2541.59,10/12/2019,USA,Small
22,96.86,2130.92,20/01/2020,Australia,Small
44,38.5,1694,9/3/2020,Australia,Small
47,61.99,2913.53,3/5/2020,Spain,Small
19,49.22,935.18,31/05/2020,France,Small
34,90.39,3073.26,17/02/2018,Italy,Medium
29,71.81,2082.49,29/04/2018,Australia,Small
49,69.27,3394.23,27/06/2018,Spain,Medium
30,85.32,2559.6,25/08/2018,USA,Small
21,70.96,1490.16,28/10/2018,USA,Small
50,76.88,3844,12/1/2019,Japan,Medium
47,100.53,4724.91,,Australia,Medium
24,76.03,1824.72,2/4/2019,Canada,Small
27,98.84,2668.68,11/5/2019,USA,Small
33,86.17,2843.61,28/06/2019,USA,Small
35,90.39,3163.65,23/07/2019,France,Medium
31,71.81,2226.11,21/08/2019,Norway,Small
25,82.79,2069.75,16/09/2019,Ireland,Small
27,82.79,2235.33,15/10/2019,USA,Small
31,100.53,3116.43,2/11/2019,USA,Medium
45,106.26,4781.7,10/11/2019,Denmark,Medium
27,104.1,2810.7,23/11/2019,Japan,Small
27,130.21,3515.67,4/12/2019,USA,Medium
42,69.27,2909.34,2/2/2020,Australia,Small
21,74.77,1570.17,1/3/2020,Spain,Small
34,76.88,2613.92,30/03/2020,France,Small
42,76.03,3193.26,3/4/2020,USA,Medium
15,98.84,1482.6,10/5/2020,Italy,Small
29,70.87,2055.23,24/02/2018,USA,Small
46,58.15,2674.9,29/04/2018,Australia,Small
30,61.78,1853.4,1/7/2018,France,Small
30,49.67,1490.1,25/08/2018,USA,Small
46,61.18,2814.28,28/10/2018,,Small
25,64.2,1605,11/11/2018,France,Small
32,65.42,2093.44,18/11/2018,Norway,Small
40,49.67,1986.8,12/1/2019,Japan,Small
28,60.57,1695.96,20/02/2019,Australia,Small
23,55.72,1281.56,3/4/2019,USA,Small
29,61.18,1774.22,18/05/2019,USA,Small
34,58.75,1997.5,28/06/2019,USA,Small
37,63.6,2353.2,23/07/2019,France,Small
20,49.06,981.2,27/08/2019,USA,Small
32,48.46,1550.72,27/09/2019,France,Small
34,52.09,1771.06,15/10/2019,USA,Small
42,52.7,2213.4,2/11/2019,USA,Small
38,138.58,5266.04,15/11/2019,USA,Medium
30,62.16,1864.8,23/11/2019,Japan,Small
23,,1142.41,5/1/2020,USA,Small
22,53.3,1172.6,2/2/2020,Australia,Small
39,179,6981,3/3/2020,Sweden,Medium
55,55.72,3064.6,7/4/2020,France,Medium
36,61.18,2202.48,13/05/2020,Spain,Small
26,145.13,3773.38,9/1/2018,Germany,Medium
31,163.69,5074.39,18/03/2018,UK,Medium
34,190.69,6483.46,21/05/2018,Australia,Medium
41,194.06,7956.46,16/07/2018,Australia,Large
23,183.94,4230.62,12/9/2018,USA,Medium
22,156.94,3452.68,5/11/2018,Italy,Medium
21,145.13,3047.73,12/11/2018,USA,Medium
22,167.06,3675.32,21/11/2018,Australia,Medium
40,187.31,7492.4,3/12/2018,Spain,Large
50,190.69,9534.5,26/01/2019,Spain,Large
29,192.38,5579.02,2/3/2019,France,Medium
43,138.38,5950.34,29/04/2019,Spain,Medium
24,155.25,3726,4/6/2019,France,Medium
22,202.5,4455,17/08/2019,Italy,Medium
43,192.38,8272.34,3/9/2019,Norway,Large
20,178.88,3577.6,11/10/2019,France,Medium
25,155.25,3881.25,21/10/2019,USA,Medium
36,161.04,5797.44,4/11/2019,USA,Medium
24,52.67,1264.08,17/11/2019,UK,Small
21,229.3,4815.3,29/11/2019,Australia,Medium
30,148.74,4462.2,9/12/2019,France,Medium
32,94.79,3033.28,12/1/2020,USA,Medium
21,47.18,990.78,16/02/2020,Spain,Small
26,78.11,2030.86,4/3/2020,USA,Small
35,155.25,5433.75,29/05/2020,USA,Medium
26,121.44,3157.44,10/3/2018,USA,Medium
46,112.2,5161.2,20/05/2018,France,Medium
37,117.48,4346.76,10/7/2018,France,Medium
27,130.68,3528.36,11/9/2018,Australia,Medium
23,138.6,3187.8,17/10/2018,Denmark,Medium
39,,6023.16,5/11/2018,USA,Medium
27,143.88,3884.76,12/11/2018,Norway,Medium
38,130.68,4965.84,20/11/2018,USA,Medium
27,154.44,4169.88,2/12/2018,USA,Medium
40,122.76,4910.4,16/01/2019,Spain,Medium
24,134.64,3231.36,26/02/2019,USA,Medium
44,155.76,6853.44,13/04/2019,France,Medium
37,139.92,5177.04,1/6/2019,UK,Medium
20,141.24,2824.8,6/7/2019,Italy,Small
39,110.88,4324.32,6/8/2019,,Medium
44,114.84,5052.96,30/08/2019,Switzerland,Medium
22,146.52,3223.44,5/10/2018,Norway,Medium
43,122.76,5278.68,16/10/2019,Spain,Medium
27,105.6,2851.2,4/11/2019,USA,Small
26,64.9,1687.4,17/11/2019,USA,Small
25,52.32,1308,24/11/2019,France,Small
49,125.4,6144.6,10/1/2020,Belgium,Medium
29,176.8,5127.2,10/2/2020,Spain,Medium
41,155.76,6386.16,22/04/2020,USA,Medium
55,139.92,7695.6,17/05/2020,Austria,Large
27,83.07,2242.89,29/01/2018,Norway,Small
23,110.43,2539.89,24/03/2018,Sweden,Small
31,90.17,2795.27,28/05/2018,Spain,Small
46,120.56,5545.76,16/07/2018,Australia,Medium
47,91.18,4285.46,19/09/2018,Singapore,Medium
31,107.39,3329.09,20/10/2018,USA,Medium
46,121.57,5592.22,6/11/2018,Australia,Medium
37,89.15,3298.55,13/11/2018,USA,Medium
28,93.21,2609.88,21/11/2018,Australia,Small
37,90.17,3336.29,5/12/2018,Canada,Medium
49,112.45,5510.05,29/01/2019,USA,Medium
24,104.35,2504.4,10/3/2019,USA,Small
30,117.52,3525.6,29/04/2019,Spain,Medium
50,,4407,14/06/2019,USA,Medium
31,96.24,2983.44,19/07/2019,Australia,Small
46,111.44,5126.24,17/08/2019,Italy,Medium
47,121.57,5713.79,8/9/2019,Sweden,Medium
46,100.3,4613.8,11/10/2019,France,Medium
37,100.3,3711.1,21/10/2019,USA,Medium
33,106.81,3524.73,4/11/2019,USA,Medium
48,100.3,4814.4,29/11/2019,Australia,Medium
41,87.13,3572.33,10/12/2019,USA,Medium
42,109.08,4581.36,20/01/2020,USA,Medium
32,45.25,1448,9/3/2020,Australia,Small
10,88.14,881.4,30/05/2020,Belgium,Small
35,57.46,2011.1,29/01/2018,Norway,Small
46,73.7,3390.2,28/05/2018,Spain,Medium
20,71.2,1424,16/07/2018,Australia,Small
30,49.97,1499.1,19/09/2018,Singapore,Small
48,69.96,3358.08,20/10/2018,USA,Medium
28,53.72,1504.16,5/11/2018,Italy,Small
39,68.08,2655.12,13/11/2018,USA,Small
24,51.84,1244.16,21/11/2018,,Small
28,67.46,1888.88,5/12/2018,Canada,Small
31,58.71,1820.01,29/01/2019,USA,Small
45,63.71,2866.95,10/3/2019,USA,Small
24,58.09,1394.16,29/04/2019,Spain,Small
49,53.72,2632.28,14/06/2019,USA,Small
32,63.08,2018.56,16/07/2019,Austria,Small
43,68.71,2954.53,17/08/2019,Italy,Small
37,50.59,1871.83,8/9/2019,Sweden,Small
24,64.96,1559.04,11/10/2019,France,Small
35,53.72,1880.2,21/10/2019,USA,Small
41,29.87,1224.67,4/11/2019,USA,Small
26,114.58,2979.08,17/11/2019,UK,Small
34,64.96,2208.64,29/11/2019,Australia,Small
49,70.58,3458.42,10/12/2019,USA,Medium
28,44.21,1237.88,20/01/2020,USA,Small
37,59.96,2218.52,10/3/2020,Austria,Small
31,53.72,1665.32,30/05/2020,Belgium,Small
41,83.44,3421.04,17/02/2018,Italy,Medium
21,89.46,1878.66,28/04/2018,Austria,Small
40,96.34,3853.6,16/06/2018,USA,Medium
46,74.84,3442.64,10/8/2018,USA,Medium
44,79.14,3482.16,6/10/2018,Finland,Medium
46,73.12,3363.52,23/10/2018,Sweden,Medium
41,81.72,3350.52,8/11/2018,France,Medium
32,89.46,2862.72,14/11/2018,UK,Small
46,87.74,4036.04,26/11/2018,Spain,Medium
49,94.62,4636.38,19/02/2019,USA,Medium
21,73.98,1553.58,7/5/2019,USA,Small
32,84.3,2697.6,24/06/2019,Spain,Small
34,98.06,3334.04,21/07/2019,Belgium,Medium
21,98.06,2059.26,20/08/2019,Canada,Small
21,96.34,2023.14,15/09/2019,Germany,Small
31,83.44,2586.64,14/10/2019,USA,Small
21,94.62,1987.02,1/11/2019,UK,Small
25,45.86,1146.5,10/11/2019,Denmark,Small
28,82.58,2312.24,22/11/2019,Belgium,Small
43,64.97,2793.71,2/12/2019,Spain,Small
22,86.74,1908.28,31/01/2020,Finland,Small
37,93.01,3441.37,1/3/2020,Spain,Medium
28,,2023.28,30/03/2020,France,Small
30,74.84,2245.2,1/4/2020,USA,Small
44,73.98,3255.12,6/5/2020,USA,Medium
25,101.58,2539.5,29/01/2018,Norway,Small
30,97.39,2921.7,28/05/2018,Spain,Small
20,90.06,1801.2,16/07/2018,Australia,Small
26,107.86,2804.36,19/09/2018,Singapore,Small
40,122.52,4900.8,20/10/2018,USA,Medium
31,89.01,2759.31,5/11/2018,Italy,Small
22,113.1,2488.2,13/11/2018,USA,Small
23,120.43,2769.89,21/11/2018,Australia,Small
30,119.38,3581.4,5/12/2018,Canada,Medium
49,107.86,5285.14,29/01/2019,USA,Medium
31,102.63,3181.53,10/3/2019,USA,Medium
29,115.19,3340.51,29/04/2019,Spain,Medium
37,84.82,3138.34,14/06/2019,USA,Medium
38,125.66,4775.08,19/07/2019,Australia,Medium
29,103.67,3006.43,17/08/2019,Italy,Medium
23,124.62,2866.26,8/9/2019,Sweden,Small
26,85.87,2232.62,11/10/2019,France,Small
38,117.29,4457.02,21/10/2019,USA,Medium
48,47.04,2257.92,4/11/2019,USA,Small
40,39.8,1592,17/11/2019,UK,Small
45,109.96,4948.2,29/11/2019,Australia,Medium
44,117.29,5160.76,10/12/2019,USA,Medium
21,94.22,1978.62,20/01/2020,USA,Small
29,86.92,2520.68,10/3/2020,Austria,Small
21,,1781.22,30/05/2020,Belgium,Small
22,139.32,3065.04,11/2/2018,Denmark,Medium
26,136.59,3551.34,16/04/2018,Singapore,Medium
41,135.22,5544.02,6/6/2018,Spain,Medium
47,128.39,6034.33,8/8/2018,USA,Medium
31,117.47,3641.57,28/09/2018,Spain,Medium
43,161.18,6930.74,21/10/2018,USA,Medium
23,159.81,3675.63,7/11/2018,Spain,Medium
28,122.93,3442.04,14/11/2018,USA,Medium
49,140.69,6893.81,26/11/2018,USA,Medium
24,109.27,2622.48,2/1/2019,France,Small
33,133.86,4417.38,18/02/2019,Belgium,Medium
22,163.91,3606.02,20/03/2019,UK,Medium
32,,3802.56,7/5/2019,USA,Medium
40,125.66,5026.4,21/07/2019,Belgium,Medium
43,155.71,6695.53,20/08/2019,USA,Medium
24,117.47,2819.28,9/9/2019,Italy,Small
32,117.47,3759.04,14/10/2019,UK,Medium
20,136.59,2731.8,22/10/2019,Denmark,Small
24,69.12,1658.88,5/11/2019,Norway,Small
48,120.38,5778.24,20/11/2019,France,Medium
44,117.98,5191.12,2/12/2019,Spain,Medium
28,137.96,3862.88,26/01/2020,Japan,Medium
24,61.52,1476.48,22/02/2020,Spain,Small
33,159.81,5273.73,23/03/2020,USA,Medium
41,118.83,4872.03,6/5/2020,USA,Medium
23,198.13,4556.99,31/01/2018,Spain,Medium
46,179.5,8257,10/3/2018,USA,Large
48,171.03,8209.44,1/4/2018,France,Large
25,143.94,3598.5,8/5/2018,France,Medium
22,174.42,,3/6/2018,USA,Medium
41,203.21,8331.61,4/7/2018,France,Large
34,142.25,4836.5,1/8/2018,Finland,Medium
32,169.34,5418.88,11/9/2018,Australia,Medium
21,177.81,3734.01,21/09/2018,Finland,Medium
47,186.27,8754.69,22/10/2018,Singapore,Large
39,140.55,5481.45,5/11/2018,Canada,Medium
29,152.41,4419.89,6/11/2018,UK,Medium
45,140.55,6324.75,12/11/2018,Norway,Medium
28,157.49,4409.72,14/11/2018,Spain,Medium
26,150.71,3918.46,20/11/2018,USA,Medium
50,152.41,7620.5,25/11/2018,USA,Large
48,172.73,8291.04,2/12/2018,Spain,Large
25,157.49,3937.25,9/12/2018,USA,Medium
40,138.86,5554.4,16/01/2019,Spain,Medium
43,149.02,6407.86,22/02/2019,Switzerland,Medium
22,189.66,4172.52,11/3/2019,USA,Medium
47,150.71,7083.37,12/4/2019,Finland,Large
36,198.13,7132.68,5/5/2019,Spain,Large
40,169.34,6773.6,1/6/2019,UK,Medium
27,135.47,3657.69,15/06/2019,Singapore,Medium
29,165.95,4812.55,6/7/2019,Italy,Medium
20,196.43,3928.6,20/07/2019,USA,Medium
42,152.41,6401.22,6/8/2019,USA,Medium
25,167.65,4191.25,19/08/2019,USA,Medium
36,162.57,5852.52,30/08/2019,Switzerland,Medium
21,135.47,2844.87,8/9/2019,USA,Small
23,174.42,4011.66,5/10/2018,Norway,Medium
37,201.51,7455.87,13/10/2019,USA,Large
48,186.27,8940.96,16/10/2019,Germany,Large
25,182.89,4572.25,22/10/2019,Canada,Medium
33,172.73,5700.09,4/11/2019,USA,Medium
27,116.87,3155.49,5/11/2019,USA,Medium
27,154.47,4170.69,17/11/2019,USA,Medium
20,143.94,2878.8,19/11/2019,Sweden,Small
30,167.65,5029.5,24/11/2019,Australia,Medium
48,154.1,7396.8,1/12/2019,USA,Large
32,93.49,2991.68,10/12/2019,Spain,Small
34,184.58,6275.72,10/1/2020,Belgium,Medium
27,56.85,1534.95,20/01/2020,Australia,Small
39,186.27,7264.53,9/2/2020,Finland,Large
47,146.15,6869.05,22/02/2020,Spain,Medium
22,152.41,3353.02,15/03/2020,Spain,Medium
55,150.71,8289.05,14/04/2020,France,Large
60,198.13,11887.8,3/5/2020,Spain,Large
35,169.34,5926.9,17/05/2020,Austria,Medium
28,135.47,3793.16,31/05/2020,France,Medium
38,113.95,4330.1,11/2/2018,Denmark,Medium
21,95.8,2011.8,16/04/2018,Singapore,Small
41,117.98,4837.18,6/6/2018,Spain,Medium
22,97.81,2151.82,8/8/2018,USA,Small
29,88.74,2573.46,28/09/2018,Spain,Small
50,106.89,5344.5,22/10/2018,Singapore,Medium
29,105.88,3070.52,7/11/2018,Spain,Medium
49,80.67,3952.83,14/11/2018,USA,Medium
35,101.85,3564.75,26/11/2018,USA,Medium
48,116.97,5614.56,2/1/2019,France,Medium
23,80.67,1855.41,18/02/2019,Belgium,Small
48,95.8,4598.4,20/03/2019,UK,Medium
42,121.01,5082.42,7/5/2019,USA,Medium
47,115.97,5450.59,21/07/2019,Belgium,Medium
36,115.97,4174.92,20/08/2019,USA,Medium
22,109.92,2418.24,9/9/2019,Italy,Small
40,91.76,3670.4,14/10/2019,UK,Medium
23,107.9,2481.7,22/10/2019,Denmark,Small
32,118.99,3807.68,9/11/2019,Sweden,Medium
21,106.21,2230.41,20/11/2019,France,Small
41,93.04,3814.64,2/12/2019,Spain,Medium
25,84.71,2117.75,26/01/2020,Japan,Small
26,128.48,3340.48,22/02/2020,Spain,Medium
24,89.75,2154,23/03/2020,USA,Small
48,121.01,5808.48,6/5/2020,USA,Medium
26,68.35,1777.1,3/3/2018,Philippines,Small
21,,1536.57,8/5/2018,France,Small
45,78,3510,2/7/2018,USA,Medium
36,86.04,3097.44,5/9/2018,USA,Medium
32,70.76,2264.32,4/11/2018,Australia,Small
30,82.82,2484.6,12/11/2018,Norway,Small
36,94.88,3415.68,20/11/2018,Germany,Medium
33,86.04,2839.32,2/12/2018,Spain,Small
35,78,2730,15/01/2019,France,Small
37,95.69,3540.53,22/02/2019,Switzerland,Medium
41,73.17,2999.97,9/4/2019,Denmark,Small
20,76.39,1527.8,26/05/2019,France,Small
45,86.84,3907.8,2/7/2019,Australia,Medium
38,69.96,2658.48,2/8/2019,USA,Small
43,70.76,3042.68,30/08/2019,Switzerland,Medium
49,78.8,3861.2,4/10/2018,Germany,Medium
27,80.41,2171.07,16/10/2019,Germany,Small
46,73.98,3403.08,3/11/2019,USA,Medium
38,59.1,2245.8,15/11/2019,USA,Small
25,66.74,1668.5,24/11/2019,Australia,Small
46,60.3,2773.8,6/1/2020,Finland,Small
22,112,2464,10/2/2020,Spain,Small
40,137.29,5491.6,4/3/2020,USA,Medium
46,104.17,4791.82,29/01/2018,Norway,Medium
38,82.34,3128.92,28/05/2018,,Medium
30,103.18,3095.4,,Australia,Medium
42,94.25,3958.5,12/9/2018,USA,Medium
43,116.08,4991.44,20/10/2018,USA,Medium
29,95.24,2761.96,5/11/2018,Italy,Small
33,86.31,2848.23,12/11/2018,USA,Small
32,79.37,2539.84,21/11/2018,Australia,Small
28,87.3,2444.4,5/12/2018,Canada,Small
41,111.12,4555.92,29/01/2019,USA,Medium
33,111.12,3666.96,2/3/2019,France,Medium
36,84.33,3035.88,29/04/2019,Spain,Medium
26,89.29,2321.54,14/06/2019,USA,Small
34,102.19,3474.46,17/08/2019,Italy,Medium
26,96.23,2501.98,7/9/2019,USA,Small
38,104.17,3958.46,11/10/2019,France,Medium
33,107.15,3535.95,21/10/2019,USA,Medium
33,91.27,3011.91,5/11/2019,Germany,Medium
26,102.19,2656.94,29/11/2019,Australia,Small
25,104.17,2604.25,10/12/2019,USA,Small
45,73.08,3288.6,,USA,Medium
50,178.71,8935.5,17/02/2020,USA,Large
36,112.11,4035.96,10/3/2020,Austria,Medium
21,89.29,1875.09,30/05/2020,Belgium,Small
29,139.64,4049.56,3/3/2018,Philippines,Medium
21,117.59,2469.39,8/5/2018,France,Small
42,129.35,5432.7,2/7/2018,USA,Medium
37,119.06,4405.22,5/9/2018,USA,Medium
36,123.47,4444.92,4/11/2018,Australia,Medium
22,154.34,3395.48,12/11/2018,Norway,Medium
23,148.46,3414.58,20/11/2018,Germany,Medium
32,160.22,5127.04,2/12/2018,Spain,Medium
28,133.76,3745.28,15/01/2019,France,Medium
27,169.04,4564.08,22/02/2019,Switzerland,Medium
49,133.76,6554.24,9/4/2019,Denmark,Medium
41,164.63,6749.83,26/05/2019,France,Medium
49,171.98,8427.02,2/7/2019,Australia,Large
30,130.82,3924.6,2/8/2019,USA,Medium
40,,6761.6,30/08/2019,Switzerland,Medium
23,164.63,3786.49,4/10/2018,Germany,Medium
49,127.88,6266.12,16/10/2019,Germany,Medium
25,139.64,3491,3/11/2019,Sweden,Medium
37,119.06,4405.22,16/11/2019,Philippines,Medium
55,119.06,6548.3,24/11/2019,Australia,Medium
23,138.17,3177.91,7/12/2019,Spain,Medium
24,172.61,4142.64,6/1/2020,Finland,Medium
43,96.49,4149.07,10/2/2020,Spain,Medium
50,147.94,7397,4/3/2020,USA,Large
47,132.8,6241.6,10/3/2018,USA,Medium
34,156.82,5331.88,20/05/2018,France,Medium
31,165.3,5124.3,10/7/2018,France,Medium
28,129.98,3639.44,11/9/2018,Australia,Medium
36,154,5544,17/10/2018,Denmark,Medium
48,114.44,5493.12,5/11/2018,USA,Medium
